Field=Description~String~Description~100|Field=Comment~String~Comment~100|Field=Value~String~Value~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PC PCB 2011.PrjPcb|ReportField=ProjectFullPath~C:\Documents and Settings\tnguyen\Desktop\Payload Computer PCB 2011\PC PCB 2011.PrjPcb|ReportField=Title~Bill of Materials For Project [PC PCB 2011.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~172|ReportField=ReportTime~3:44:59 PM|ReportField=ReportDate~5/11/2011|ReportField=ReportDateTime~5/11/2011 3:44:59 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Room 419|ReportField=Address2~School of EE&T|ReportField=Address3~UNSW, NSW 2052|ReportField=Address4~Australia|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~5/11/2011|ReportField=CurrentTime~3:44:47 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Documents and Settings\tnguyen\Desktop\Payload Computer PCB 2011\PC_Overview_Block.SchDoc|ReportField=DocumentName~PC_Overview_Block.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~Matt Brindley|ReportField=ImagePath~|ReportField=ModifiedDate~4/22/2011|ReportField=Organization~BLUEsat Project|ReportField=ProjectName~PC PCB 2011.PrjPcb|ReportField=Revision~0.1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~?|ReportField=Time~|ReportField=Title~Payload Computer - Overview|ReportField=DataSourceFileName~PC PCB 2011.PrjPcb|ReportField=DataSourceFullPath~C:\Documents and Settings\tnguyen\Desktop\Payload Computer PCB 2011\PC PCB 2011.PrjPcb
Polarized Capacitor (Surface Mount)|Cap Pol3|100pF|C1|C0805|Cap Pol3|1
Capacitor (Semiconductor SIM Model)|Cap Semi|100pF|C2|C0805|Cap Semi|1
Capacitor (Semiconductor SIM Model)|Cap Semi|4.7uF|C3, C4, C5, C6, C7, C8, C9, C25, C26|C0805|Cap Semi|9
Capacitor (Semiconductor SIM Model)|Cap Semi|22pF|C10, C11|C0805|Cap Semi|2
Capacitor (Semiconductor SIM Model)|Cap Semi|10nF|C12, C31, C32, C35, C36, C39, C40, C43, C44|C0805|Cap Semi|9
Capacitor (Semiconductor SIM Model)|Cap Semi|1nF|C20, C21, C22, C23, C46|C0805|Cap Semi|5
Capacitor (Semiconductor SIM Model)|Cap Semi|100nF|C24, C27, C30, C34, C38, C42|C0805|Cap Semi|6
Capacitor (Semiconductor SIM Model)|Cap Semi|0.01uF|C28|C0805|Cap Semi|1
Capacitor (Semiconductor SIM Model)|Cap Semi|10uF|C29, C33, C37, C41, C45, C48|C0805|Cap Semi|6
Capacitor (Semiconductor SIM Model)|Cap Semi|220pF|C47|C0805|Cap Semi|1
Capacitor (Semiconductor SIM Model)|Cap Semi|3.3nF|C49|C0805|Cap Semi|1
Typical RED, GREEN, YELLOW, AMBER GaAs LED|LED2||D2, D3, D6, D7, D8|DSO-F2/D6.1|LED2|5
Schottky Barrier Double Diode|BAT54C||D4|SOT23_N|BAT54C|1
Multilayer varistor - Transient voltage protection device|V5.5MLA||D9, D10, D11|MLA-1206|V5.5MLA0603|3
Standard Ferrite Bead|Ferrite Bead|22ohm|FB1|AXIAL-0.3|Ferrite Bead|1
Standard Ferrite Bead|Ferrite Bead|120ohm|FB2, FB4, FB5|AXIAL-0.3|Ferrite Bead|3
Receptacle Assembly, 9 Position, Right Angle|D Connector 9||J1|DSUB1.385-2H9|D Connector 9|1
Header, 10-Pin, Dual row|Header 10X2||J2|HDR2X10|Header 10X2|1
