Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Variable switching regulator.PrjPCB|ReportField=ProjectFullPath~C:\Users\Cameron\Documents\BLUEsat SVN\PCB Integration\Variable switching regulator, TX supply\Variable switching regulator.PrjPCB|ReportField=Title~Bill of Materials For Project [Variable switching regulator.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~41|ReportField=ReportTime~1:43:12 PM|ReportField=ReportDate~3/12/2011|ReportField=ReportDateTime~3/12/2011 1:43:12 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Room 419|ReportField=Address2~School of EE&T|ReportField=Address3~UNSW, NSW 2052|ReportField=Address4~Australia|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/12/2011|ReportField=CurrentTime~1:42:57 PM|ReportField=Date~|ReportField=Description~Sample Title Block|ReportField=DocumentFullPathAndName~C:\Users\Cameron\Documents\BLUEsat SVN\PCB Integration\Variable switching regulator, TX supply\V1.SchDoc|ReportField=DocumentName~V1.SchDoc|ReportField=DocumentNumber~TITL0001|ReportField=DrawnBy~|ReportField=Engineer~C. BROWN|ReportField=ImagePath~|ReportField=ModifiedDate~23/11/2011|ReportField=Organization~BLUEsat Project|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Title Block Template|ReportField=Version~1.0|ReportField=DataSourceFileName~Variable switching regulator.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Cameron\Documents\BLUEsat SVN\PCB Integration\Variable switching regulator, TX supply\Variable switching regulator.PrjPCB
Czero|Capacitor|C1|R0805M|Cap|1
Cpole|Capacitor|C2|R0805M|Cap|1
Chb|Capacitor|C3|R0805M|Cap|1
Cvcc|Capacitor|C5|R0805M|Cap|1
Cvccx|Capacitor|C6|R0805M|Cap|1
Cramp|Capacitor|C7|R0805M|Cap|1
Css|Capacitor|C8|R0805M|Cap|1
C4532X7R1E226M|Capacitor|C9, C10, C11, C12, C13|R1812M|Cap|5
PMEG4050EP|Default Diode|D1, D2|SOD128M|Diode|2
200MIL TERMINAL||J1, J2|200MIL TERMINAL|200MIL TERMINAL|2
Header 4|Header, 4-Pin|J3|HDR1X4|Header 4|1
SRR1260-220M|Inductor|L1|SRR1260M|Inductor|1
SI4410DY|N-Channel 30V (D-S)  MOSFET|Q1, Q2|SO-8_N|SI4410DY|2
Rfb1|Resistor|R1, R9, R10, R11, R12, R13, R14, R15, R16|R0805M|Res2|9
Rfb2|Resistor|R2|R0805M|Res2|1
Rcomp|Resistor|R3|R0805M|Res2|1
RS|Resistor|R4|R0805M|Res2|1
RT|Resistor|R5|R0805M|Res2|1
Ren|Resistor|R6|R0805M|Res2|1
SP|Resistor|R7, R8|R0805M|Res2|2
|Resistor|R17, R18|R0805M|Res2|2
LM5118MH|Wide Voltage Range Buck-Boost Controller|U1|MXA20A_N|LM5118MH|1
MCP4542||U2|MSOP8|MCP4542|1
MCP23009SS||U3|SSOP20_M|MCP23009SS|1
